id,price,speed,hd,ram,screen,cores,cd,laptop,trend
1,1470,21,8,2,19,10,no,no,1
2,2197,15,28,6,21,26,no,no,5
3,2098,18,16,14,15,16,no,no,1
4,4346,34,3,36,17,18,no,no,4
5,2609,15,20,14,19,18,no,no,5
6,2856,15,20,10,21,28,yes,no,5
7,4077,38,3,44,17,28,no,no,5
8,3520,34,3,28,23,24,yes,no,4
9,3731,33,1,20,17,20,no,no,4
10,1793,24,8,6,17,6,no,no,2
11,2158,24,20,14,15,18,no,no,5
12,4341,32,1,16,17,24,no,no,5
13,1326,17,8,2,15,8,no,no,1
14,4157,36,5,60,21,24,no,no,5
15,4164,35,1,60,23,16,yes,no,2
16,547,23,28,2,13,4,no,yes,2
17,4151,34,3,44,21,14,no,no,2
18,2415,19,8,2,19,24,no,no,4
19,3602,38,5,40,23,14,no,no,1
20,4162,32,7,32,17,20,no,no,4
21,3298,38,5,56,19,26,no,no,4
22,3309,39,1,44,15,14,no,no,1
23,1504,15,12,6,23,6,yes,no,2
24,1405,21,12,6,19,6,no,no,2
25,3938,32,1,20,17,16,no,no,2
26,903,18,12,14,13,10,no,yes,2
27,3662,36,1,16,21,26,no,no,5
28,1451,23,8,2,15,6,no,no,1
29,3640,32,7,40,17,14,yes,no,1
30,2845,22,8,2,19,30,no,no,4
31,2453,15,24,6,15,22,no,no,4
32,3012,38,1,36,15,16,yes,no,2
33,851,16,28,6,13,10,no,yes,2
34,3569,36,3,28,15,26,no,no,5
35,1558,17,24,10,21,4,no,no,1
36,3430,33,1,20,15,14,no,no,1
37,1555,21,8,6,15,4,no,no,2
38,4297,38,5,44,17,16,no,no,2
39,1506,23,12,10,23,8,no,no,2
40,2977,21,8,10,23,20,no,no,5
41,3407,39,3,32,15,14,no,no,2
42,2427,23,16,6,17,24,no,no,4
43,1787,16,24,6,21,8,no,no,2
44,1900,15,8,2,15,8,yes,no,1
45,3455,36,3,60,19,20,no,no,5
46,2868,17,24,14,23,18,yes,no,4
47,1794,23,12,10,21,8,no,no,1
48,1626,23,16,6,19,4,no,no,2
49,2827,22,8,14,15,12,no,no,2
50,1302,20,12,6,17,4,no,no,2
51,3320,34,3,16,19,20,yes,no,4
52,599,18,28,6,12,10,no,yes,2
