structureId,sequence
1,BCBACDBBCACCBABDADBDDDCDADACAABABBCADBBDDCCBCAADACCBBBABDDCAACDAABCADBCBDDACABDCCDADCBCDBBAAADBBCBADDBBBABBCACDDCBDBDAABCABCACDABBACADDCCBDADDBABBDDCDCDABDBBCCCCDCBDDABBABACBADDDBBDBDDDCAABDACDCCDAAADDACADBBBD
2,DCCDCACBCACCCBABDABADCDDBDCCACADABAABBCAADCADDCABDCAADDBBCACACDACDBCCCDDBABDCCBCCCAADBACADADDABACCCCCABABCABCAABBDABDDCCABADACDABDCDCABDDBADABD
3,ABBCADACBADBBCBDDDDDBCDABDCBCCCBDBBAADDCCCBDDBBACBCADBDCCBBBBBCDADD
4,AACCCBABADCDDACBCBABDCBCDABCBBBCABBCBCDCDACCCACCCBBADACDCCACDCBCBAACBCDCDCADDCBBBBBBBABDABBCCDBBBCAADDDBD
5,DACCCBCCBDBBACAADDCBADBCCDBDBACBBDDCCAABADDDAAADABADACAAADCBDABBACDDCCACAACBBBCDCDCDAADBDDABABDCDBDDCDADCDBDABBDDADDBBBADCDCCDCBBDAAADBCDDBACCACBAAABBBADDBBC
6,CABBCCADCAABBDDDCCAABCCACDDBAABAACCCBCAADBADCCCBDCAACBAAABCBCAADACABDDDBDBDDDADABDDCACAACBCDCDDACBBCCDCBBCADCDDCDABADDBBAAABCDCDDDCDCACBDACABDDCCDCAACDCDCABDBDBBCDDAABCDDDBDCAABBCCAADCA
7,ACBDCDCCDADCBDCCCDDCCADACBBADDACBDDBDDBBDACBBBCBDAADCCBBAADCCBBBCCBDCDDAACBCCCDDDAADABAADDBCDBBDC
8,DDBDCCDDDDCDBCBCADDCCDAAABCADADDCCCDCDABC
9,CDDADAAADAABADCBBBAACABDDCBBDDCCCACADAACC
10,DDCADDBBCCACDCABBCBDDDAAAAABDCACCADDBABBBAABDCDCBBCBDDACDCCBCCBCDBCBCDDCCCBCCCAAADBBADBABACDCBCDBDDADAABBDABDCCBBCBCDBDDDCCBD
11,BCABDBCADADBABDBABCADBCDABDDDBBDDCCBADCBBBDCCCDCCCCCCAADDCDDBBCCACDADCAADDDBAACCBCCACBACABCBDACDADCCABADBCCAD
12,DCBDBBBDDACCCACCCCDABDDBCDADCDC
13,CDABBADAABCACACBDDCAACDAAACBBACCDCABDCBADCDADCCCDAABCDBAACCDCBDDDBDBDBDABBCAABDACCBBDDCAAADADCACABACABDDBCADDDAAADDBAABADCBCADABBDBCCBDDABBDDCAABDCADDABBBDDCADBDBAADACCDADACADAABACACBADADBDDD
14,AAABADDBCAADBAAACDBCBCCACDCDCDCCDBDBBDACADDDCBBADBABCCABA
15,DDDDBBCBDAACDDABCADABBADDCCCCCBDCBBACDCCCBBBABCCADDDCDCDDADDACDADBDABDADCCCDCCDBDABDABDBDABDDDDCCDBCDAAABABADCDABDBABDADCABDBDCACACBAABCBCAAACDAADDABBDBCBCBBACAABDCCBCBBAADBDDDAACACCBDAACCCDCDDDCCCDD
16,ACACBCCBCACCCDADBBADCADBAAADCBDCADBBCCACABBAACDCCBADBADBABCADCBDCADDDBDABBDDACBAAACBCDCDCCDABAACBACDAABBCCACBBCDBAAACCCBADDCDAAAADCBABBDADDADADDCCBCCDADBDADDABBCBABDCDCBCCBABBACCBCDAACBAABACBCDCCCC
17,DCACBCBBACDBDBBCADDDAAAADBABDCADCAADADDCABDAABADCADBCCCBDDDBCDB
18,CCBBCDDBCCBBACCABDACABDABABDDDDABDBDDBCDADCCCBDCAADCDDDBDBCBDCDABBBCCBBADBAADBDDCBCBBBDDCCDADAACBADDDBBDBBBDDCDDDDBBDABBCDCCDBCCACACAADACCCCB
19,DCBBBCBDCACCCACBCCACCBCADCBACCCDBBDCCBCABDCCCDDACCADCDDCADAADCCBDACABDDABCBDDBCBDBCBDADBDBCBBBBBBCCCCCCACACABBAAADDDAADDD
20,AAABDDBAADCCDCACABDCCBDDAACCABCBADDDDCDDBCBAADDADABDBABAACCCCAADACADDCABDBDABCAAABBBDADBBAAAABCCAAAAACCBABDAACABBCBCCDDBCABDACACACACBBDDCABDDDCBBADDAABBCCDCCCBCBCBAABBABDCBCABCDCDBACCBABCBDBACDBDBDAADBAADCBDDDCDCABDBAAACD
21,CBDCDBBCBBCCCCDCDCDDCDBBBDBBDBCDBDBCABDCAABABDABBCCCBCDBCCCCCCDBCCDCABBDCCDADCBCABBBBBACCCAADACAAADABABCCCABABCBDBCBCADCADBAADCCDCDBADBACABACADABBABBADDAACABBCACDDABBBAABBCDBBDDDCCCBBDBDCBDCBDDCBCDDDACDAADDADABDDADCDCABCCADBBDDBDABCADDCCCBCACBCCCABBAD
22,ACAADBBABCCABBCABBAACBBDACDBBBAABABBCDDCBACAADABCBCBBDABDBDADADCBACACBBAABADDCCDDDDDBCACCDDADCADDDBCDBACCCCDBDBCACBDADDACDCBDCBDCADCBBCBABCCDBDDBAACBACDACBBABCAABBBACDADACAA
23,AADAABDDADADABCCDBABDDCBDCD
24,ABACBCDDBDACBAABCDCABDCBCBDCCBAACAADABDCCBACBDBACBDBBCBBBADDDCBAABABA
